Device_ID,Temperature,Humidity,Battery_Level,Anomaly
Device_1,32.483570765056164,43.24821725025618,43,0
Device_2,29.308678494144075,48.55481329284482,70,0
Device_3,33.23844269050346,42.075800790000386,29,0
Device_4,37.61514928204013,46.9203847036096,91,0
Device_5,28.829233126383322,31.063853330462145,40,0
Device_6,28.8293152152541,52.13293707372939,89,0
Device_7,37.896064077536955,50.012054753622245,76,0
Device_8,33.837173645764544,41.82911368931809,58,0
Device_9,27.65262807032524,56.59245668432405,52,0
Device_10,32.712800217929825,59.37570137626558,78,0
Device_11,27.682911535937688,33.924401356310256,37,0
Device_12,27.671351232148716,42.37275221433786,75,0
Device_13,31.20981135783017,42.30857650212702,76,0
Device_14,20.43359877671101,40.600968988911355,95,0
Device_15,21.375410837434835,58.294748419317486,67,0
Device_16,27.188562353795135,48.06173861227197,61,0
Device_17,24.93584439832788,47.35485158689389,46,0
Device_18,31.571236662976368,29.961376355932465,93,0
Device_19,25.459879622393945,56.35418030209226,71,0
Device_20,22.938481493323543,37.60741605146528,61,0
Device_21,37.32824384460777,50.599326302663286,51,0
Device_22,28.871118497567323,52.773769379581914,45,0
Device_23,30.33764102343962,63.60658595838651,44,0
Device_24,22.87625906893272,36.91179600880888,94,0
Device_25,27.278086377374088,19.804878441791747,42,0
Device_26,30.55461294854933,51.83849544753695,76,0
Device_27,24.245032112888488,68.00511181510853,71,0
Device_28,31.87849009172836,62.38946352939438,50,0
Device_29,54.24001226210429,52.096594152746256,19,1
Device_30,28.541531251033618,45.08363814367953,90,0
Device_31,26.991466938853016,58.071225966373106,52,0
Device_32,60.54541485174916,40.26453800295531,12,1
Device_33,29.93251387631033,54.76357769356219,37,0
Device_34,24.711445355220498,55.054701591666266,66,0
Device_35,34.11272456051594,60.6020990749888,52,0
Device_36,23.895781750144888,77.59660038911078,54,0
Device_37,31.044317975023777,53.92415967178767,70,0
Device_38,20.201649380601122,44.910363742925014,37,0
Device_39,23.359069755507846,49.74425687808006,91,0
Device_40,30.984306179345616,32.30924095110882,49,0
Device_41,33.69233289997705,43.05286868910942,63,0
Device_42,30.85684140594985,45.90717561886896,72,0
Device_43,29.421758588058797,44.759116020654076,29,0
Device_44,28.494481522053555,51.52354872033722,71,0
Device_45,22.607390048162863,41.775800676177994,68,0
Device_46,26.400778958026457,61.210306673244716,30,0
Device_47,27.696806145201062,50.002070649181974,85,0
Device_48,35.285611131094576,49.90699678861385,77,0
Device_49,31.71809144784231,46.72105283487082,55,0
Device_50,21.18479922318633,51.551906838589794,52,0
Device_51,57.57522786600869,58.25098264667635,14,1
Device_52,28.074588597918417,41.328697842890996,32,0
Device_53,26.615389998470206,43.41883510924743,59,0
Device_54,33.058381444204336,46.96273971223335,87,0
Device_55,62.307590231890565,36.54129076526785,16,1
Device_56,34.65640059558099,41.807421402785025,38,0
Device_57,25.803912383886807,45.23779126455341,38,0
Device_58,28.453938120743928,58.74389180712728,77,0
Device_59,64.6404530549554,52.62561329001925,3,1
Device_60,34.877725635611796,51.93589911367545,73,0
Device_61,27.60412881077355,58.50897962167972,99,0
Device_62,51.14759431111961,48.62628211600603,4,1
Device_63,24.46832512996986,53.904648499288896,31,0
Device_64,24.018966879596647,48.96778247067504,43,0
Device_65,34.06262911197099,52.653623493996285,53,0
Device_66,36.78120014285412,44.17241342388418,72,0
Device_67,29.63994939209833,25.61182841723571,27,0
Device_68,62.695839220765286,48.65720837813696,9,1
Device_69,31.80818012523817,64.2274813609994,76,0
Device_70,26.77440122697438,59.26215402241593,24,0
Device_71,72.05060261197596,59.653974845911705,7,1
Device_72,37.690182832329846,62.36130721806218,49,0
Device_73,29.820869804450243,50.88657590961437,73,0
Device_74,37.82321827907003,51.973157074055955,32,0
Device_75,16.901274479551276,43.8234810456565,48,0
